(node:3736) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/Users/Administrator/Desktop/Nueva%20carpeta/-CODIGOS%20WEBS-/028import%20-%20Oficial/028-import-oficial/src/lib/firebaseAdmin.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\Users\Administrator\Desktop\Nueva carpeta\-CODIGOS WEBS-\028import - Oficial\028-import-oficial\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
179 imágenes distintas para revisar.

[89/179] OK  2473KB -> 414KB  AURORA BERRIES 
[90/179] OK  2523KB -> 446KB  SOUR APPLE ICE
[91/179] OK  2550KB -> 433KB  GRAPE ICE
[92/179] OK  2342KB -> 448KB  SUMO HALF BAKD 5G
[93/179] OK  2254KB -> 405KB  SOUR LUSH GUMMY
[94/179] OK  2379KB -> 420KB  CHERRY STRAZZ 
[95/179] OK  2475KB -> 416KB  WATERMELON ICE
[96/179] OK  2290KB -> 398KB  ELF LOVE
[97/179] OK  2575KB -> 422KB  STRAWBERRY ICE
[98/179] OK  2574KB -> 434KB  PINEAPPLE MANGO
[99/179] OK  2352KB -> 385KB  DRAGON STRAWNANA
[100/179] OK  2484KB -> 453KB  MIAMI MINT 
[101/179] OK  2273KB -> 408KB  GREEN APPLE ICE
[102/179] OK  2323KB -> 436KB  ACAI BANANA ICE
[103/179] OK  2481KB -> 444KB  PINK LEMONADE
[104/179] OK  2189KB -> 358KB  HONOR & GLORY — LATTAFA
[105/179] OK  2190KB -> 338KB  BHARARA KING
[106/179] OK  1933KB -> 239KB  9PM
[107/179] OK  2243KB -> 305KB  AMBER OUD GOLD EDITION — AL HARAMAIN
[108/179] OK  2226KB -> 433KB  YARA — LATTAFA
[109/179] OK  2217KB -> 378KB  💛 ECLAIRE — LATTAFA
[110/179] OK  1729KB -> 148KB  CARGADOR ORIGINAL 20W
[111/179] OK  2202KB -> 377KB  PINNEAPLE
[112/179] OK  2279KB -> 348KB  PEACH MANGO WATERMELON
[113/179] OK  2198KB -> 354KB  MANGO MAGIC
[114/179] OK  2292KB -> 474KB  FANTA GRAPE
[115/179] OK  2267KB -> 413KB  COCONUT STRAWBERRY ICE
[116/179] OK  2109KB -> 336KB  BUBBALOO TUTTI FRUTI
[117/179] OK  2287KB -> 421KB  BLUEBERRY
[118/179] OK  2152KB -> 412KB  MENTHOL
[119/179] OK  1351KB -> 380KB  FRIZZY PEACH
[120/179] OK  1238KB -> 394KB  CHERRY BLAST
[121/179] OK  1299KB -> 361KB  GROOVE GRAPE PASSION FRUIT
